record_id,year,month,quarter,country,area_type,ev_brand,ev_model,ev_type,vehicle_segment,buyer_type,price_usd,government_incentive_type,incentive_amount_usd,effective_price_usd,range_km,battery_capacity_kwh,primary_charging_type,charging_time_hours,charging_station_access,annual_mileage_km,electricity_cost_per_km_usd,co2_savings_kg_per_year,resale_value_pct_3yr,adas_level,adoption_reason,previous_vehicle_type,top_concern_before_buying,customer_gender,customer_age_group,customer_satisfaction,would_recommend
EV0000001,2023,3,Q1,China,Suburban,Hyundai,IONIQ 5,Plug-in Hybrid (PHEV),Sports Car,Fleet/Corporate,56438,Tax Credit,4593,51845,63,15.7,Home Charging,9.5,Average,24619,0.054,1695,50.1,Level 2,Government Incentive,Diesel ICE,Charging Time,Male,35-44,Very Satisfied,Yes
EV0000002,2023,6,Q2,India,Urban,BYD,Atto 3,Battery Electric Vehicle (BEV),SUV,Individual,30562,None,0,30562,275,117.7,Public AC Charging,5.8,Poor,16664,0.024,3371,75.1,Level 2,Environmental Concern,Diesel ICE,Range Anxiety,Male,35-44,Very Satisfied,Maybe
EV0000003,2023,2,Q1,Norway,Urban,Volvo,XC40 Recharge,Plug-in Hybrid (PHEV),Hatchback,Individual,42893,Tax Credit,6227,36666,48,9.0,DC Fast Charging,1.0,Good,10963,0.063,1683,48.6,Level 1,Lower Running Cost,Diesel ICE,Battery Life,Male,35-44,Satisfied,No
EV0000004,2024,1,Q1,USA,Urban,Chevrolet,Bolt EV,Battery Electric Vehicle (BEV),Sedan,Fleet/Corporate,31414,Tax Credit,5314,26100,564,53.3,Public AC Charging,4.9,Good,17296,0.083,2991,66.1,Level 2+,Government Incentive,Diesel ICE,Range Anxiety,Female,35-44,Very Satisfied,Yes
EV0000005,2023,4,Q2,Norway,Urban,BMW,iX,Hybrid Electric (HEV),SUV,Individual,65487,Tax Credit,4648,60839,44,4.3,Public AC Charging,3.9,Excellent,14202,0.119,761,65.6,Level 2,Government Incentive,Diesel ICE,Charging Time,Female,55-64,Satisfied,Yes
EV0000006,2023,5,Q2,Sweden,Suburban,Rivian,R1S,Hybrid Electric (HEV),Hatchback,Individual,54574,None,0,54574,31,2.2,DC Fast Charging,0.4,Average,16313,0.044,148,71.8,Level 1,Technology Appeal,Petrol/Gasoline ICE,Charging Time,Male,65+,Satisfied,Yes
EV0000007,2023,1,Q1,UAE,Suburban,Tata Motors,Tigor EV,Battery Electric Vehicle (BEV),Sedan,Individual,16102,None,0,16102,287,109.8,DC Fast Charging,0.6,Average,13306,0.102,3053,68.1,Level 2+,Environmental Concern,Petrol/Gasoline ICE,Resale Value,Prefer not to say,25-34,Dissatisfied,Maybe
EV0000008,2021,7,Q3,South Korea,Urban,Rivian,R1T,Plug-in Hybrid (PHEV),SUV,Individual,81699,Free Charging,2861,78838,45,16.6,Supercharger Network,0.8,Good,32131,0.027,1731,69.5,Level 0,Performance,Diesel ICE,High Price,Male,35-44,Satisfied,Yes
EV0000009,2021,4,Q2,Spain,Rural,Tesla,Model S,Battery Electric Vehicle (BEV),Hatchback,Individual,35676,Tax Credit,4711,30965,678,116.4,Workplace Charging,7.0,Good,9415,0.08,3477,62.6,Level 2,Environmental Concern,Petrol/Gasoline ICE,Charging Infrastructure,Prefer not to say,45-54,Satisfied,Yes
EV0000010,2022,8,Q3,Germany,Suburban,NIO,ES6,Battery Electric Vehicle (BEV),Sedan,Individual,47013,Multiple Incentives,14363,32650,513,91.5,Home Charging,11.0,Average,26914,0.05,2567,58.0,Level 2,Lower Running Cost,Petrol/Gasoline ICE,Charging Time,Male,45-54,Very Satisfied,Yes
EV0000011,2024,10,Q4,China,Suburban,Tesla,Cybertruck,Plug-in Hybrid (PHEV),Sedan,Fleet/Corporate,40558,None,0,40558,120,15.7,Public AC Charging,2.9,Excellent,29401,0.106,956,79.7,Level 2,Performance,First Vehicle,High Price,Male,25-34,Satisfied,Yes
EV0000012,2020,7,Q3,Germany,Urban,Tesla,Model 3,Battery Electric Vehicle (BEV),SUV,Individual,53202,Direct Subsidy,8926,44276,516,80.4,DC Fast Charging,0.8,Very Poor,16912,0.103,3788,47.5,Level 2,Environmental Concern,Hybrid,None/No Concern,Male,18-24,Satisfied,Yes
